in_a_case_id,in_bool_context,in_bool_shade,in_context_seed,in_room_height,in_room_north,in_room_width,in_shade_hor_depth,in_shade_vert_both_sides,in_shade_vert_depth,in_window_g,in_window_height,in_window_hor_separ,in_window_sill_height,in_window_wwr,ext_wall_area(m2),ext_win_area(m2),volume(m3),org_floor_area(m2),adj_floor_area(m2),w_width(m),w_height(m),w_aspect_ratio,w_count,shade_v_count,shade_h_count,shade_L,shade_R,shade_T,cooling_load(W/m2),peak_date,altitude(deg),azimuth(deg),w_rad_total(kWh),w_rad_april(kWh),w_rad_may(kWh),w_rad_jun(kWh),w_rad_jul(kWh),w_rad_aug(kWh),w_rad_sep(kWh),f_rad_total(kWh),f_rad_april(kWh),f_rad_may(kWh),f_rad_jun(kWh),f_rad_jul(kWh),f_rad_aug(kWh),f_rad_sep(kWh),solar_load(W/m2),solar_load_adj(W/m2)
1,0,1,86,3.747256801,108.1091273,15.9922968,0.967072663,1,0.978035319,0.442931854,2.178113898,3.955231105,1.473679658,0.441921762,59.927243,26.483153,269.672593,71.965336,51.715336,3.039689,2.178114,1.39556,4,8,4,1.0,1.0,1,45.84673,14 Aug 08:00,28.878238,103.935512,8580.746342,1441.942741,1581.082837,1505.163151,1549.039887,1423.914806,1081.557212,32267.197971,5297.433121,5951.654335,5757.125428,5926.796865,5321.578484,4019.078852,58.580749,81.519016
2,0,0,56,3.838259052,259.7849062,7.250490915,0.218708653,0,0.45795842,0.41152491,2.694798137,1.31126118,0.465652842,0.444729402,27.829262,12.376491,125.231681,32.627209,22.533521,0.765456,2.694798,0.284049,6,0,0,0.0,0.0,0,69.016625,16 Aug 16:00,29.790717,253.372141,7042.099047,1119.096264,1355.937461,1248.86915,1229.478231,1161.199651,927.285179,15834.568736,2516.352931,3048.904149,2808.15485,2764.553233,2611.024855,2085.054553,94.859993,137.351674
3,0,0,71,4.23132011,0.082770396,11.21016777,0.885910443,0,0.735569856,0.372460317,2.528589213,1.796147866,1.355489464,0.734709025,47.433808,34.850047,213.452137,50.445755,30.195755,10.985964,3.172234,3.463164,1,0,0,0.0,0.0,0,55.615145,31 Jul 12:00,56.618921,177.014986,8579.185044,1205.973244,1651.964393,1831.571853,1714.943489,1298.437982,875.339022,11676.982713,1641.429653,2248.460612,2492.921268,2334.180386,1767.281834,1191.409042,25.195984,42.093017
4,1,0,54,4.685166987,54.70629175,11.88416305,0.364642354,0,0.521789759,0.471065977,3.441385533,1.882340681,0.342262952,0.831018233,55.679288,46.270504,250.556798,53.478734,33.228734,11.64648,3.972918,2.931468,1,0,0,0.0,0.0,0,172.388426,29 Jun 08:00,35.876625,97.331153,13930.484778,2052.44832,2736.701483,2836.626162,2780.366082,2185.751559,1339.541976,16802.104891,2474.02331,3300.278239,3425.317922,3354.767292,2634.790166,1614.03354,125.713769,202.32529
5,0,0,97,4.648061438,13.16916228,19.39115529,0.466373197,1,0.014895941,0.335163295,2.163961771,2.306113101,0.161784797,0.734172328,90.131281,66.171893,405.590765,87.260199,67.010199,19.003332,3.48212,5.457402,1,0,0,0.0,0.0,0,37.371263,31 Jul 11:00,54.132984,152.179815,16585.277872,2334.206148,3207.385279,3529.63155,3333.39612,2505.69094,1672.390832,22590.441419,3179.370742,4368.708789,4807.633338,4540.345381,3412.946396,2277.926692,22.555345,29.371407
6,1,1,8,4.167566773,57.44165513,8.438895442,0.778663332,0,0.560268904,0.278269023,2.070640762,2.644038975,0.202185812,0.492520046,35.16966,17.321763,158.263471,37.975029,21.798029,8.270118,2.0945,3.948492,1,1,1,0.0,1.0,1,19.985543,29 Jun 08:00,35.876625,97.331153,3175.454712,478.371725,624.825459,625.441121,623.123056,505.739654,317.803487,9135.591979,1356.94458,1797.95173,1831.052422,1827.862948,1445.68458,876.662631,15.164174,26.417984
7,0,0,71,4.277608368,4.673861195,13.94175833,0.140791687,1,0.277559914,0.279728787,3.207218872,1.225571405,0.566023995,0.765968635,59.637382,45.680364,268.368219,62.737912,42.487912,1.120182,3.707219,0.302162,11,0,0,0.0,0.0,0,32.166606,31 Jul 11:00,54.132984,152.179815,11219.231083,1571.805328,2160.546424,2403.789534,2252.202761,1686.838935,1142.3883,14647.116092,2052.049285,2820.672295,3138.235062,2940.332991,2202.229863,1491.429665,17.000371,25.102852
8,1,0,2,4.246939876,138.4515014,13.83216626,0.248102579,0,0.81247487,0.481705811,3.210937822,2.520562148,0.522719025,0.643829151,58.744378,37.821343,264.349703,62.244748,41.994748,2.154487,3.510938,0.61365,5,0,0,0.0,0.0,0,82.793556,02 Apr 10:00,36.93858,140.070398,15734.019657,2739.665635,2731.770493,2482.658338,2674.074408,2654.461077,2455.288213,24392.025386,4253.764564,4231.540002,3845.192447,4141.177031,4115.334651,3811.053001,163.113891,241.767923
9,1,1,58,3.697553844,212.6822328,14.39936931,0.69103484,1,0.092652725,0.392269871,3.433068091,1.801444845,1.10057879,0.817844638,53.242443,43.544047,239.590995,64.797162,44.547162,1.502098,3.623603,0.414532,8,16,8,1.0,1.0,1,70.787358,05 Sep 13:00,43.397015,201.014668,13552.943428,2381.042979,2544.801521,2105.301185,2210.058541,2352.185251,1958.09374,20469.603927,3537.323034,3873.663205,3248.455641,3407.966596,3527.945224,2872.467032,98.443627,143.193581
10,0,1,49,5.107241529,356.622748,10.52119086,0.486313564,0,0.91502105,0.493292975,3.46351568,3.723421283,0.870373738,0.56663149,53.734263,30.447525,241.804183,47.345359,27.095359,2.93031,3.463516,0.846051,3,3,3,1.0,0.0,1,42.247296,31 Jul 12:00,56.618921,177.014986,5632.215899,825.423133,1062.170196,1159.016386,1105.210226,864.02871,615.8447,13445.498766,1878.294399,2597.152205,2883.043521,2693.644262,2033.470782,1358.281227,28.30956,49.467006
